id	name	icon	grade	link	chronicle
59	Mithril Gaiters	armor_t19_l_i00	D	https://mw2.wiki/item/59-mithril-gaiters/eternal	eternal
60	Composite Armor	armor_t61_ul_i00	C	https://mw2.wiki/item/60-composite-armor/eternal	eternal
61	Mithril Plate Gloves	armor_t46_g_i00	D	https://mw2.wiki/item/61-mithril-plate-gloves/eternal	eternal
62	Reinforced Mithril Boots	armor_t42_b_i00	C	https://mw2.wiki/item/62-reinforced-mithril-boots/eternal	eternal
63	Gauntlets	armor_t10_g_i00	D	https://mw2.wiki/item/63-gauntlets/eternal	eternal
64	Composite Boots	armor_t61_b_i00	C	https://mw2.wiki/item/64-composite-boots/eternal	eternal
65	Red Potion	etc_potion_red_i00	None	https://mw2.wiki/item/65-red-potion/eternal	eternal
66	Gladius	weapon_gladius_i00	None	https://mw2.wiki/item/66-gladius/eternal	eternal
67	Orcish Sword	weapon_orcish_sword_i00	None	https://mw2.wiki/item/67-orcish-sword/eternal	eternal
68	Falchion	weapon_falchion_i00	None	https://mw2.wiki/item/68-falchion/eternal	eternal
69	Bastard Sword	weapon_bastard_sword_i00	D	https://mw2.wiki/item/69-bastard-sword/eternal	eternal
70	Claymore	weapon_claymore_i00	D	https://mw2.wiki/item/70-claymore/eternal	eternal
71	Flamberge	weapon_flamberge_i00	C	https://mw2.wiki/item/71-flamberge/eternal	eternal
72	Stormbringer	weapon_stormbringer_i00	C	https://mw2.wiki/item/72-stormbringer/eternal	eternal
73	Shamshir	weapon_shamshir_i00	C	https://mw2.wiki/item/73-shamshir/eternal	eternal
74	Katana	weapon_katana_i00	C	https://mw2.wiki/item/74-katana/eternal	eternal
75	Caliburs	weapon_caliburs_i00	C	https://mw2.wiki/item/75-caliburs/eternal	eternal
76	Sword of Delusion	weapon_sword_of_delusion_i00	C	https://mw2.wiki/item/76-sword-of-delusion/eternal	eternal
77	Tsurugi	weapon_tsurugi_i00	C	https://mw2.wiki/item/77-tsurugi/eternal	eternal
78	Great Sword	weapon_great_sword_i00	B	https://mw2.wiki/item/78-great-sword/eternal	eternal
79	Sword of Damascus	weapon_sword_of_damascus_i00	B	https://mw2.wiki/item/79-sword-of-damascus/eternal	eternal
80	Tallum Blade	weapon_tallum_blade_i00	A	https://mw2.wiki/item/80-tallum-blade/eternal	eternal
81	Dragon Slayer	weapon_dragon_slayer_i00	A	https://mw2.wiki/item/81-dragon-slayer/eternal	eternal
82	Gaz Blade	weapon_forgotten_blade_i00	S	https://mw2.wiki/item/82-gaz-blade/eternal	eternal
83	Sword of Magic	weapon_sword_of_magic_i00	D	https://mw2.wiki/item/83-sword-of-magic/eternal	eternal
84	Homunkulus's Sword	weapon_homunkuluss_sword_i00	C	https://mw2.wiki/item/84-homunkuluss-sword/eternal	eternal
85	Phantom Sword	weapon_phantom_sword_i00	A	https://mw2.wiki/item/85-phantom-sword/eternal	eternal
86	Tomahawk	weapon_tomahawk_i00	D	https://mw2.wiki/item/86-tomahawk/eternal	eternal
87	Iron Hammer	weapon_iron_hammer_i00	None	https://mw2.wiki/item/87-iron-hammer/eternal	eternal
88	Morning Star	weapon_morning_star_i00	D	https://mw2.wiki/item/88-morning-star/eternal	eternal
89	Big Hammer	weapon_big_hammer_i00	C	https://mw2.wiki/item/89-big-hammer/eternal	eternal
90	Goat Head Staff	weapon_goathead_staff_i00	D	https://mw2.wiki/item/90-goat-head-staff/eternal	eternal
91	Heavy War Axe	weapon_heavy_war_axe_i00	B	https://mw2.wiki/item/91-heavy-war-axe/eternal	eternal
92	Sprite's Staff	weapon_sprites_staff_i00	B	https://mw2.wiki/item/92-sprites-staff/eternal	eternal
93	Winged Spear	weapon_winged_spear_i00	D	https://mw2.wiki/item/93-winged-spear/eternal	eternal
94	Bec de Corbin	weapon_bech_de_corbin_i00	C	https://mw2.wiki/item/94-bec-de-corbin/eternal	eternal
95	Poleaxe	weapon_poleaxe_i00	C	https://mw2.wiki/item/95-poleaxe/eternal	eternal
96	Scythe	weapon_scythe_i00	C	https://mw2.wiki/item/96-scythe/eternal	eternal
97	Lance	weapon_lancia_i00	B	https://mw2.wiki/item/97-lance/eternal	eternal
98	Halberd	weapon_halbard_i00	A	https://mw2.wiki/item/98-halberd/eternal	eternal
99	Apprentice's Spellbook	weapon_apprentices_spellbook_i00	None	https://mw2.wiki/item/99-apprentices-spellbook/eternal	eternal
100	Voodoo Doll	weapon_voodoo_doll_i00	None	https://mw2.wiki/item/100-voodoo-doll/eternal	eternal
101	Scroll of Wisdom	weapon_scroll_of_wisdom_i00	D	https://mw2.wiki/item/101-scroll-of-wisdom/eternal	eternal
102	Round Shield	shield_round_shield_i00	None	https://mw2.wiki/item/102-round-shield/eternal	eternal
103	Tower Shield	shield_tower_shield_i00	C	https://mw2.wiki/item/103-tower-shield/eternal	eternal
104	Shield of Victory	shield_small_shield_i00	B	https://mw2.wiki/item/104-shield-of-victory/eternal	eternal
105	Implosion Shield	shield_doom_shield_i00	B	https://mw2.wiki/item/105-implosion-shield/eternal	eternal
106	Dark Dragon ShieldDFoundation	shield_dark_dragon_shield_i00	D	https://mw2.wiki/item/106-dark-dragon-shield/eternal	eternal
107	Composite Shield	shield_composite_shield_i00	C	https://mw2.wiki/item/107-composite-shield/eternal	eternal
108	Masterpiece ShieldDFoundation	shield_masterpiece_shield_i00	D	https://mw2.wiki/item/108-masterpiece-shield/eternal	eternal
109	Shield of Solar EclipseDFoundation	shield_shield_of_sola_eclipse_i00	D	https://mw2.wiki/item/109-shield-of-solar-eclipse/eternal	eternal
110	Doom Shield	shield_doom_shield_i00	B	https://mw2.wiki/item/110-doom-shield/eternal	eternal
111	Shield of Pledge	shield_shield_of_pledge_i00	B	https://mw2.wiki/item/111-shield-of-pledge/eternal	eternal
112	Apprentice's Earring	accessary_apprentices_earing_i00	None	https://mw2.wiki/item/112-apprentices-earring/eternal	eternal
113	Mystic's Earring	accessary_mage_earing_i00	None	https://mw2.wiki/item/113-mystics-earring/eternal	eternal
114	Earring of Strength	accessary_earing_of_strength_i00	None	https://mw2.wiki/item/114-earring-of-strength/eternal	eternal
115	Earring of Wisdom	accessary_earing_of_wisdom_i00	None	https://mw2.wiki/item/115-earring-of-wisdom/eternal	eternal
116	Magic Ring	accessary_magic_ring_i00	None	https://mw2.wiki/item/116-magic-ring/eternal	eternal
117	Ring of Mana	accessary_ring_of_mana_i00	B	https://mw2.wiki/item/117-ring-of-mana/eternal	eternal
118	Necklace of Magic	accessary_necklace_of_magic_i00	None	https://mw2.wiki/item/118-necklace-of-magic/eternal	eternal
119	Necklace of Seal	accessary_necklace_of_binding_i00	C	https://mw2.wiki/item/119-necklace-of-seal/eternal	eternal
120	Sword of Reflection	weapon_sword_of_watershadow_i00	None	https://mw2.wiki/item/120-sword-of-reflection/eternal	eternal
121	Sword of Watershadow	weapon_sword_of_watershadow_i00	None	https://mw2.wiki/item/121-sword-of-watershadow/eternal	eternal
122	Handmade Sword	weapon_handmade_sword_i00	None	https://mw2.wiki/item/122-handmade-sword/eternal	eternal
123	Saber	weapon_saber_i00	D	https://mw2.wiki/item/123-saber/eternal	eternal
124	Two-Handed Sword	weapon_two_handed_sword_i00	D	https://mw2.wiki/item/124-two-handed-sword/eternal	eternal
125	Spinebone Sword	weapon_spinebone_sword_i00	D	https://mw2.wiki/item/125-spinebone-sword/eternal	eternal
126	Artisan's Sword	weapon_artisans_sword_i00	D	https://mw2.wiki/item/126-artisans-sword/eternal	eternal
127	Crimson Sword	weapon_crimson_sword_i00	D	https://mw2.wiki/item/127-crimson-sword/eternal	eternal
128	Knight's Sword	weapon_knights_sword_i00	D	https://mw2.wiki/item/128-knights-sword/eternal	eternal
129	Sword of Revolution	weapon_sword_of_revolution_i00	D	https://mw2.wiki/item/129-sword-of-revolution/eternal	eternal
130	Elven Sword	weapon_elven_sword_i00	D	https://mw2.wiki/item/130-elven-sword/eternal	eternal
131	Spirit Sword	weapon_spirits_sword_i00	C	https://mw2.wiki/item/131-spirit-sword/eternal	eternal
132	Sword of Limit	weapon_sword_of_limit_i00	C	https://mw2.wiki/item/132-sword-of-limit/eternal	eternal
133	Raid Sword	weapon_raid_sword_i00	C	https://mw2.wiki/item/133-raid-sword/eternal	eternal
134	Sword of Nightmare	weapon_sword_of_nightmare_i00	C	https://mw2.wiki/item/134-sword-of-nightmare/eternal	eternal
135	Samurai Longsword	weapon_samurai_longsword_i00	C	https://mw2.wiki/item/135-samurai-longsword/eternal	eternal
136	(Not In Use)	etc_pi_gift_box_i00	None	https://mw2.wiki/item/136-not-in-use/eternal	eternal
137	(Not In Use)	etc_pi_gift_box_i00	None	https://mw2.wiki/item/137-not-in-use/eternal	eternal
138	(Not In Use)	etc_pi_gift_box_i00	None	https://mw2.wiki/item/138-not-in-use/eternal	eternal
139	Sudden Agathion 7-Day Pack	etc_pi_gift_box_i02	None	https://mw2.wiki/item/139-sudden-agathion-7-day-pack/eternal	eternal
140	Shiny Agathion 7-Day Pack	etc_pi_gift_box_i02	None	https://mw2.wiki/item/140-shiny-agathion-7-day-pack/eternal	eternal
141	Sobbing Agathion 7-Day Pack	etc_pi_gift_box_i02	None	https://mw2.wiki/item/141-sobbing-agathion-7-day-pack/eternal	eternal
142	Keshanberk	weapon_kshanberk_i00	B	https://mw2.wiki/item/142-keshanberk/eternal	eternal
143	Sword of Mystic	weapon_sword_of_mystic_i00	D	https://mw2.wiki/item/143-sword-of-mystic/eternal	eternal
144	Sword of Occult	weapon_sword_of_occult_i00	D	https://mw2.wiki/item/144-sword-of-occult/eternal	eternal
145	Sword of Whispering Death	weapon_deathbreath_sword_i00	C	https://mw2.wiki/item/145-sword-of-whispering-death/eternal	eternal
146	Ghoulbane	weapon_falchion_i00	B	https://mw2.wiki/item/146-ghoulbane/eternal	eternal
147	Tear of Darkness	weapon_shamshir_i00	A	https://mw2.wiki/item/147-tear-of-darkness/eternal	eternal
148	Sword of Valhalla	weapon_sword_of_valhalla_i00	B	https://mw2.wiki/item/148-sword-of-valhalla/eternal	eternal
149	Sword of Life	weapon_needle_wolverine_i00	A	https://mw2.wiki/item/149-sword-of-life/eternal	eternal
150	Elemental Sword	weapon_elemental_sword_i00	A	https://mw2.wiki/item/150-elemental-sword/eternal	eternal
151	Sword of Miracles	weapon_sword_of_miracle_i00	A	https://mw2.wiki/item/151-sword-of-miracles/eternal	eternal
152	Heavy Chisel	weapon_heavy_chisel_i00	None	https://mw2.wiki/item/152-heavy-chisel/eternal	eternal
153	Sigil	weapon_sickle_i00	None	https://mw2.wiki/item/153-sigil/eternal	eternal
154	Dwarven Mace	weapon_dwarven_mace_i00	None	https://mw2.wiki/item/154-dwarven-mace/eternal	eternal
155	Flanged Mace	weapon_buzdygan_i00	None	https://mw2.wiki/item/155-flanged-mace/eternal	eternal
156	Hand Axe	weapon_hand_axe_i00	D	https://mw2.wiki/item/156-hand-axe/eternal	eternal
157	Spiked Club	weapon_spike_club_i00	D	https://mw2.wiki/item/157-spiked-club/eternal	eternal
158	Tarbar	weapon_tarbar_i00	D	https://mw2.wiki/item/158-tarbar/eternal	eternal
159	Bonebreaker	weapon_bonebreaker_i00	D	https://mw2.wiki/item/159-bonebreaker/eternal	eternal
160	Battle Axe	weapon_battle_axe_i00	C	https://mw2.wiki/item/160-battle-axe/eternal	eternal
161	Silver Axe	weapon_war_pick_i00	C	https://mw2.wiki/item/161-silver-axe/eternal	eternal
162	War Axe	weapon_war_axe_i00	C	https://mw2.wiki/item/162-war-axe/eternal	eternal
163	(Not In Use)	etc_pi_gift_box_i00	None	https://mw2.wiki/item/163-not-in-use/eternal	eternal
164	Elysian	weapon_elysian_i00	A	https://mw2.wiki/item/164-elysian/eternal	eternal
165	Yablonski's Hammer	weapon_basalt_battlehammer_i00	S	https://mw2.wiki/item/165-yablonskis-hammer/eternal	eternal
166	Heavy Mace	weapon_heavy_mace_i00	D	https://mw2.wiki/item/166-heavy-mace/eternal	eternal
167	Scalpel	weapon_scalpel_i00	D	https://mw2.wiki/item/167-scalpel/eternal	eternal
168	Work Hammer	weapon_work_hammer_i00	D	https://mw2.wiki/item/168-work-hammer/eternal	eternal
169	Skull Breaker	weapon_skull_breaker_i00	D	https://mw2.wiki/item/169-skull-breaker/eternal	eternal
170	Sudden Agathion 7-Day Pack	etc_pi_gift_box_i02	None	https://mw2.wiki/item/170-sudden-agathion-7-day-pack/eternal	eternal
171	Deadman's Glory	weapon_deadmans_glory_i00	B	https://mw2.wiki/item/171-deadmans-glory/eternal	eternal
172	Heavy Bone Club	weapon_heavy_bone_club_i00	D	https://mw2.wiki/item/172-heavy-bone-club/eternal	eternal
173	Skull Graver	weapon_skull_graver_i00	C	https://mw2.wiki/item/173-skull-graver/eternal	eternal
174	Nirvana Axe	weapon_nirvana_axe_i00	C	https://mw2.wiki/item/174-nirvana-axe/eternal	eternal
175	Art of Battle Axe	weapon_art_of_battle_axe_i00	B	https://mw2.wiki/item/175-art-of-battle-axe/eternal	eternal
176	Apprentice's Staff	weapon_apprentices_staff_i00	None	https://mw2.wiki/item/176-apprentices-staff/eternal	eternal
177	Mage Staff	weapon_apprentices_staff_i00	None	https://mw2.wiki/item/177-mage-staff/eternal	eternal
178	Bone Staff	weapon_apprentices_staff_i00	D	https://mw2.wiki/item/178-bone-staff/eternal	eternal
179	Mace of Prayer	weapon_mace_of_prayer_i00	D	https://mw2.wiki/item/179-mace-of-prayer/eternal	eternal
180	Mace of Judgment	weapon_mace_of_judgment_i00	D	https://mw2.wiki/item/180-mace-of-judgment/eternal	eternal
181	Mace of Miracle	weapon_mace_of_miracle_i00	D	https://mw2.wiki/item/181-mace-of-miracle/eternal	eternal
182	Doom Hammer	weapon_doom_hammer_i00	D	https://mw2.wiki/item/182-doom-hammer/eternal	eternal
183	Mystic Staff	weapon_mystic_staff_i00	D	https://mw2.wiki/item/183-mystic-staff/eternal	eternal
184	Conjuror's Staff	weapon_conjure_staff_i00	D	https://mw2.wiki/item/184-conjurors-staff/eternal	eternal
185	Staff of Mana	weapon_staff_of_mana_i00	D	https://mw2.wiki/item/185-staff-of-mana/eternal	eternal
186	Staff of Magic	weapon_staff_of_magicpower_i00	D	https://mw2.wiki/item/186-staff-of-magic/eternal	eternal
187	Atuba Hammer	weapon_atuba_hammer_i00	D	https://mw2.wiki/item/187-atuba-hammer/eternal	eternal
188	Ghost Staff	weapon_ghost_staff_i00	D	https://mw2.wiki/item/188-ghost-staff/eternal	eternal
189	Staff of Life	weapon_life_stick_i00	D	https://mw2.wiki/item/189-staff-of-life/eternal	eternal
190	Atuba Mace	weapon_atuba_mace_i00	D	https://mw2.wiki/item/190-atuba-mace/eternal	eternal
191	Heavy Doom Hammer	weapon_heavy_doom_hammer_i00	C	https://mw2.wiki/item/191-heavy-doom-hammer/eternal	eternal
192	Crystal Staff	weapon_crystal_staff_i00	C	https://mw2.wiki/item/192-crystal-staff/eternal	eternal
193	Stick of Faith	weapon_stick_of_faith_i00	C	https://mw2.wiki/item/193-stick-of-faith/eternal	eternal
194	Heavy Doom Axe	weapon_heavy_doom_axe_i00	C	https://mw2.wiki/item/194-heavy-doom-axe/eternal	eternal
195	Cursed Staff	weapon_cursed_staff_i00	C	https://mw2.wiki/item/195-cursed-staff/eternal	eternal
196	Stick of Eternity	weapon_stick_of_eternity_i00	C	https://mw2.wiki/item/196-stick-of-eternity/eternal	eternal
197	Paradia Staff	weapon_paradia_staff_i00	C	https://mw2.wiki/item/197-paradia-staff/eternal	eternal
198	Inferno Staff	weapon_inferno_staff_i00	C	https://mw2.wiki/item/198-inferno-staff/eternal	eternal
199	Pa'agrian Hammer	weapon_paagrio_hammer_i00	C	https://mw2.wiki/item/199-paagrian-hammer/eternal	eternal
200	Sage's Staff	weapon_sages_staff_i00	C	https://mw2.wiki/item/200-sages-staff/eternal	eternal
201	Club of Nature	weapon_club_of_nature_i00	C	https://mw2.wiki/item/201-club-of-nature/eternal	eternal
202	Mace of Underworld	weapon_mace_of_underworld_i00	C	https://mw2.wiki/item/202-mace-of-underworld/eternal	eternal
203	Pa'agrian Axe	weapon_paagrio_axe_i00	C	https://mw2.wiki/item/203-paagrian-axe/eternal	eternal
204	Deadman's Staff	weapon_deadmans_staff_i00	C	https://mw2.wiki/item/204-deadmans-staff/eternal	eternal
205	Ghoul's Staff	weapon_ghouls_staff_i00	C	https://mw2.wiki/item/205-ghouls-staff/eternal	eternal
206	Demon's Staff	weapon_demons_staff_i00	C	https://mw2.wiki/item/206-demons-staff/eternal	eternal
207	Staff of Phantom	weapon_apprentices_staff_i00	B	https://mw2.wiki/item/207-staff-of-phantom/eternal	eternal
208	Staff of Seal	weapon_apprentices_staff_i00	B	https://mw2.wiki/item/208-staff-of-seal/eternal	eternal
209	Divine Staff	weapon_apprentices_staff_i00	B	https://mw2.wiki/item/209-divine-staff/eternal	eternal
210	Staff of Evil Spirits	weapon_staff_of_evil_sprit_i00	B	https://mw2.wiki/item/210-staff-of-evil-spirits/eternal	eternal
211	Staff of Nobility	weapon_apprentices_staff_i00	B	https://mw2.wiki/item/211-staff-of-nobility/eternal	eternal
212	Dasparion's Staff	weapon_dasparions_staff_i00	A	https://mw2.wiki/item/212-dasparions-staff/eternal	eternal
213	Branch of the Mother Tree	weapon_worldtrees_branch_i00	A	https://mw2.wiki/item/213-branch-of-the-mother-tree/eternal	eternal
214	The Staff	weapon_imperial_staff_i00	S	https://mw2.wiki/item/214-the-staff/eternal	eternal
215	Doom Dagger	weapon_doomed_dagger_i00	None	https://mw2.wiki/item/215-doom-dagger/eternal	eternal
216	Dirk	weapon_dirk_i00	None	https://mw2.wiki/item/216-dirk/eternal	eternal
217	Shining Knife	weapon_shining_knife_i00	None	https://mw2.wiki/item/217-shining-knife/eternal	eternal
218	Throwing Knife	weapon_throw_knife_i00	None	https://mw2.wiki/item/218-throwing-knife/eternal	eternal
219	Sword Breaker	weapon_sword_breaker_i00	None	https://mw2.wiki/item/219-sword-breaker/eternal	eternal
220	Crafted Dagger	weapon_handiwork_dagger_i00	D	https://mw2.wiki/item/220-crafted-dagger/eternal	eternal
221	Assassin Knife	weapon_assassin_knife_i00	D	https://mw2.wiki/item/221-assassin-knife/eternal	eternal
222	Poniard Dagger	weapon_dirk_i00	D	https://mw2.wiki/item/222-poniard-dagger/eternal	eternal
223	Kukuri	weapon_kukuri_i00	D	https://mw2.wiki/item/223-kukuri/eternal	eternal
224	Maingauche	weapon_maingauche_i00	D	https://mw2.wiki/item/224-maingauche/eternal	eternal
225	Mithril Dagger	weapon_mithril_dagger_i00	D	https://mw2.wiki/item/225-mithril-dagger/eternal	eternal
226	Cursed Dagger	weapon_cursed_dagger_i00	C	https://mw2.wiki/item/226-cursed-dagger/eternal	eternal
227	Stiletto	weapon_stiletto_i00	C	https://mw2.wiki/item/227-stiletto/eternal	eternal
228	Crystal Dagger	weapon_crystal_dagger_i00	C	https://mw2.wiki/item/228-crystal-dagger/eternal	eternal
229	Kris	weapon_kris_i00	B	https://mw2.wiki/item/229-kris/eternal	eternal
230	Wolverine Needle	weapon_needle_wolverine_i00	C	https://mw2.wiki/item/230-wolverine-needle/eternal	eternal
231	Grace Dagger	weapon_grace_dagger_i00	C	https://mw2.wiki/item/231-grace-dagger/eternal	eternal
232	Dark Elven Dagger	weapon_darkelven_dagger_i00	C	https://mw2.wiki/item/232-dark-elven-dagger/eternal	eternal
233	Dark Screamer	weapon_dark_screamer_i00	C	https://mw2.wiki/item/233-dark-screamer/eternal	eternal
234	Demon's Dagger	weapon_demons_sword_i00	B	https://mw2.wiki/item/234-demons-dagger/eternal	eternal
235	Bloody Orchid	weapon_bloody_orchid_i00	A	https://mw2.wiki/item/235-bloody-orchid/eternal	eternal
236	Soul Separator	weapon_soul_separator_i00	A	https://mw2.wiki/item/236-soul-separator/eternal	eternal
237	Dragon's Tooth	weapon_angel_slayer_i00	S	https://mw2.wiki/item/237-dragons-tooth/eternal	eternal
238	Dagger of Mana	weapon_dagger_of_mana_i00	D	https://mw2.wiki/item/238-dagger-of-mana/eternal	eternal
239	Mystic Knife	weapon_mystic_knife_i00	D	https://mw2.wiki/item/239-mystic-knife/eternal	eternal
240	Conjurer's Knife	weapon_conjure_knife_i00	D	https://mw2.wiki/item/240-conjurers-knife/eternal	eternal
241	Shilen Knife	weapon_knife_o__silenus_i00	D	https://mw2.wiki/item/241-shilen-knife/eternal	eternal
242	Soulfire Dirk	weapon_dagger_of_magicflame_i00	C	https://mw2.wiki/item/242-soulfire-dirk/eternal	eternal
243	Hell Knife	weapon_hell_knife_i00	B	https://mw2.wiki/item/243-hell-knife/eternal	eternal
244	Elven Fighter Fist		None	https://mw2.wiki/item/244-elven-fighter-fist/eternal	eternal
245	Dark Fighter Fist		None	https://mw2.wiki/item/245-dark-fighter-fist/eternal	eternal
246	Human Fighter Fist		None	https://mw2.wiki/item/246-human-fighter-fist/eternal	eternal
247	Dwarven Fighter Fist		None	https://mw2.wiki/item/247-dwarven-fighter-fist/eternal	eternal
248	Orc Fighter Fist		None	https://mw2.wiki/item/248-orc-fighter-fist/eternal	eternal
249	Elven Mystic Fist		None	https://mw2.wiki/item/249-elven-mystic-fist/eternal	eternal
250	Dark Mystic Fist		None	https://mw2.wiki/item/250-dark-mystic-fist/eternal	eternal
251	Human Mystic Fist		None	https://mw2.wiki/item/251-human-mystic-fist/eternal	eternal
252	Orc Shaman Fist		None	https://mw2.wiki/item/252-orc-shaman-fist/eternal	eternal
253	Spiked Gloves	weapon_spike_glove_i00	None	https://mw2.wiki/item/253-spiked-gloves/eternal	eternal
254	Iron Gloves	weapon_iron_glove_i00	None	https://mw2.wiki/item/254-iron-gloves/eternal	eternal
