id	name	description	start_npc_id	start_npc_name	start_npc_additional	start_npc_icon	location	level_min	level_max	rewards	steps	chronicle	link
102	Sea of Spores Fever	You have distributed the fever medicine. Report back to Sentinel Knight Alberius.	30284	Alberius	Sentinel Knight	skill4416_elf	[{"top": 1978.209039548, "left": 1944.3446327684}]	12	18	[{"name": "Flexible RewardNG", "icon": "etc_quest_account_reward_i00", "grade": "NG"}]	[{"number": 1, "title": "Start NPC", "description": "Sentinel Knight Alberius tells you that the Elven researchers who have recently gone to the Sea of Spores have come down with a fever. He is concerned about the guards he has dispatched there and asks for your help. He tells you that Master Cobendell has the cure for the fever but needs the ingredients to make the antidote. Go to Master Cobendell and help him to collect the ingredients he needs.", "npc": {"id": "102", "name": "Alberius", "additional": "Sentinel Knight", "icon": "skill4416_elf"}, "item": {"id": "966", "name": "Dryad's Tears", "icon": "etc_crystal_ball_green_i00", "grade": "NG"}}, {"number": 2, "title": "Cure for Fever", "description": "Sentinel Knight Alberius tells you that the Elven researchers who have recently gone to the Sea of Spores have come down with a fever. He is concerned about the guards he has dispatched there and asks for your help. He tells you that Master Cobendell has the cure for the fever but needs the ingredients to make the antidote. Go to Master Cobendell and help him to collect the ingredients he needs.", "npc": null, "item": {"id": "966", "name": "Dryad's Tears", "icon": "etc_crystal_ball_green_i00", "grade": "NG"}}, {"number": 3, "title": "Dryad's Tears", "description": "You must collect dryad's tears to make the cure for the fever. Collect 10 dryad's tears in the Elven Forest and take them to Master Cobendell. Hunt dryads and dryad elders.Dryad's TearsNGx10", "npc": null, "item": {"id": "966", "name": "Dryad's Tears", "icon": "etc_crystal_ball_green_i00", "grade": "NG"}}, {"number": 4, "title": "Return to Cobendell", "description": "You have collected all the necessary Dryad tears. Take them to Master Cobendell in the Elven Village.", "npc": null, "item": null}, {"number": 5, "title": "Medicine Created", "description": "The medicine for the fever has been created! Take it to Sentinel Knight Alberius.", "npc": null, "item": null}, {"number": 6, "title": "Delivery of Medicine", "description": "Sentinel Knight Alberius asks you to deliver the fever medicine to four sentinels who have gone to the Sea of Spores. Take the medicine to Sentinel Berros, Sentinel Veltress, Sentinel Rayen and Sentinel Gartrandell.", "npc": null, "item": null}, {"number": 7, "title": "Return to Sentinel Knight Alberius", "description": "You have distributed the fever medicine. Report back to Sentinel Knight Alberius.", "npc": null, "item": null}]	lu4	https://wiki.mw2.wiki/quest/102-sea-of-spores-fever/lu4
103	Spirit of Craftsman	Abyssal Celebrant Cecktinon has conjured the soul of Steelbender by using the soul catcher. He then channels the spirit into the zombie head. Take it to Blacksmith Karrod before it starts to rot.	30307	Karrod	Blacksmith	skill4416_darkelf	[{"top": 1785.2881355932, "left": 1745.7740112994}]	10	17	[{"name": "Flexible RewardNG", "icon": "etc_quest_account_reward_i00", "grade": "NG"}]	[{"number": 1, "title": "Start NPC", "description": "The Dark Elven Blacksmith, Karrod, wishes to conjure the spirit of Warsmith Roberto Steelbender in order to learn how to refine oriharukon ore. He asks for help in summoning the dead man's spirit. Visit Abyssal Celebrant Cecktinon of the Temple of Shilen.", "npc": {"id": "103", "name": "Karrod", "additional": "Blacksmith", "icon": "skill4416_darkelf"}, "item": {"id": "973", "name": "Zombie Head", "icon": "etc_skull_black_i00", "grade": "NG"}}, {"number": 2, "title": "Method of Refining Oriharukon Ore", "description": "The Dark Elven Blacksmith, Karrod, wishes to conjure the spirit of Warsmith Roberto Steelbender in order to learn how to refine oriharukon ore. He asks for help in summoning the dead man's spirit. Visit Abyssal Celebrant Cecktinon of the Temple of Shilen.", "npc": null, "item": {"id": "973", "name": "Zombie Head", "icon": "etc_skull_black_i00", "grade": "NG"}}, {"number": 3, "title": "Net for Tying Up Dead Spirits", "description": "Abyssal Celebrant Cecktinon tells you that in order to summon Steelbender from the Well of Dead Souls he will need a soul catcher. Visit Magister Harne and ask him how to get a soul catcher.", "npc": null, "item": {"id": "973", "name": "Zombie Head", "icon": "etc_skull_black_i00", "grade": "NG"}}, {"number": 4, "title": "Ingredients for Soul Catcher", "description": "10 old bones are needed to make a soul catcher. Go to the School of Dark Arts, kill skeletons and bring back their bone fragments. Kill skeleton hunters, archers and doom soldiers.Bone FragmentNGx10", "npc": null, "item": {"id": "973", "name": "Zombie Head", "icon": "etc_skull_black_i00", "grade": "NG"}}, {"number": 5, "title": "Return to Harne", "description": "You have collected all 10 bone fragments. Return to Magister Harne in Dark Elf Village and have the soul catcher made.", "npc": null, "item": {"id": "973", "name": "Zombie Head", "icon": "etc_skull_black_i00", "grade": "NG"}}, {"number": 6, "title": "Container to Hold Souls", "description": "A soul catcher has been created! Take it to Abyssal Celebrant Cecktinon.", "npc": null, "item": {"id": "973", "name": "Zombie Head", "icon": "etc_skull_black_i00", "grade": "NG"}}, {"number": 7, "title": "Zombie's Head", "description": "The preparations for summoning Steelbender have almost all been completed. All that remains is to obtain a zombie head to temporarily hold the spirit. Go to the Swampland, kill a zombie and bring back its head. Hunt marsh zombies.Zombie HeadNG", "npc": null, "item": {"id": "973", "name": "Zombie Head", "icon": "etc_skull_black_i00", "grade": "NG"}}, {"number": 8, "title": "Return to Abyssal Celebrant Cecktinon.", "description": "You have applied the preserving oil to the zombie head. Take it to Abyssal Celebrant Cecktinon before it begins to rot.", "npc": null, "item": null}, {"number": 9, "title": "Steelbender Head", "description": "Abyssal Celebrant Cecktinon has conjured the soul of Steelbender by using the soul catcher. He then channels the spirit into the zombie head. Take it to Blacksmith Karrod before it starts to rot.", "npc": null, "item": null}]	lu4	https://wiki.mw2.wiki/quest/103-spirit-of-craftsman/lu4
104	Spirit of Mirrors	You have sealed all three of the spirits of mirrors with Gallint's oak wand! Return to Grand Magister Gallint.	30017	Gallint	Grand Magister	skill4416_human	[{"top": 3087.2203389831, "left": 1171.8305084746}]	10	15	[{"name": "Question MarkNG", "icon": "etc_question_mark_i00", "grade": "NG"}]	[{"number": 1, "title": "Start NPC", "description": "The spirits of mirrors that Grand Magister Gallint was studying have escaped! Hit each one of them with Gallint's oak wand to seal them. Seal all three and return to Gallint. The guards in the village can tell you where to find the spirits. Monsters that need to be sealed by Gallint's Oak Wand - 3 spirits of mirrors.Spiritbound WandNG", "npc": {"id": "104", "name": "Gallint", "additional": "Grand Magister", "icon": "skill4416_human"}, "item": {"id": "1137", "name": "Spiritbound Wand", "icon": "weapon_club_i01", "grade": "NG"}}, {"number": 2, "title": "Escaped Spirits", "description": "The spirits of mirrors that Grand Magister Gallint was studying have escaped! Hit each one of them with Gallint's oak wand to seal them. Seal all three and return to Gallint. The guards in the village can tell you where to find the spirits. Monsters that need to be sealed by Gallint's Oak Wand - 3 spirits of mirrors.Spiritbound WandNG", "npc": null, "item": {"id": "1137", "name": "Spiritbound Wand", "icon": "weapon_club_i01", "grade": "NG"}}, {"number": 3, "title": "Location of the Spirits", "description": "The spirits of mirrors that Grand Magister Gallint was studying have escaped! Hit each one of them with Gallint's oak wand to seal them. Seal all three and return to Gallint. You will find one of them on the western shore of the island, another near the bridge west of Einhovant's School of Wizardry and the third can be found near the Obelisk of Victory. Monsters that need to be sealed by Gallint's Oak Wand - 3 spirits of mirrors.Spiritbound WandNG", "npc": null, "item": {"id": "1137", "name": "Spiritbound Wand", "icon": "weapon_club_i01", "grade": "NG"}}, {"number": 4, "title": "Return to Grand Magister Gallint", "description": "You have sealed all three of the spirits of mirrors with Gallint's oak wand! Return to Grand Magister Gallint.", "npc": null, "item": null}]	lu4	https://wiki.mw2.wiki/quest/104-spirit-of-mirrors/lu4
105	Skirmish with the Orcs	You've successfully accomplished Kendell's second order! Return to Sentinel Kendell in the Elven Village and make your report to him.	30218	Kendell	Sentinel	skill4416_elf	[{"top": 1977.3502824859, "left": 1954.8983050847}]	10	15	[{"name": "Flexible RewardNG", "icon": "etc_quest_account_reward_i00", "grade": "NG"}]	[{"number": 1, "title": "Start NPC", "description": "Orcs have recently made several attacks upon the Elven Forest. The Elves have decided to take their revenge upon the Kaboo Orcs in the Misty Mountains. Read the order from Sentinel Kendell and hunt the Orcs!Kaboo Chief's 1st TorqueNG", "npc": {"id": "105", "name": "Kendell", "additional": "Sentinel", "icon": "skill4416_elf"}, "item": {"id": "1845", "name": "Kaboo Chief's 2nd Torque", "icon": "accessary_necklace_of_black_ore_i00", "grade": "NG"}}, {"number": 2, "title": "Guardian of the Forest", "description": "Orcs have recently made several attacks upon the Elven Forest. The Elves have decided to take their revenge upon the Kaboo Orcs in the Misty Mountains. Read the order from Sentinel Kendell and hunt the Orcs!Kaboo Chief's 1st TorqueNG", "npc": null, "item": {"id": "1845", "name": "Kaboo Chief's 2nd Torque", "icon": "accessary_necklace_of_black_ore_i00", "grade": "NG"}}, {"number": 3, "title": "Return to Sentinel Kendell.", "description": "You have destroyed the Kaboo Orcs! Report to Sentinel Kendell.", "npc": null, "item": {"id": "1845", "name": "Kaboo Chief's 2nd Torque", "icon": "accessary_necklace_of_black_ore_i00", "grade": "NG"}}, {"number": 4, "title": "The Second Order", "description": "The war has not yet been won. Kaboo Orcs are massing around Iris Lake in the southern part of the village and are preparing to launch an invasion! You must follow Sentinel Kendell's orders! Slay the Kaboo Orcs!Kaboo Chief's 2nd TorqueNG", "npc": null, "item": {"id": "1845", "name": "Kaboo Chief's 2nd Torque", "icon": "accessary_necklace_of_black_ore_i00", "grade": "NG"}}, {"number": 5, "title": "Return to Sentinel Kendell Again.", "description": "You've successfully accomplished Kendell's second order! Return to Sentinel Kendell in the Elven Village and make your report to him.", "npc": null, "item": null}]	lu4	https://wiki.mw2.wiki/quest/105-skirmish-with-the-orcs/lu4
106	Forgotten Truth	The translation of 'Kaysha's Revelations' is complete. Tetrarch Thifiell is waiting for you.	30358	Thifiell	Tetrarch	skill4416_darkelf	[{"top": 1766.1694915254, "left": 1746.8757062147}]	10	15	[{"name": "Question MarkNG", "icon": "etc_question_mark_i00", "grade": "NG"}]	[{"number": 1, "title": "Start NPC", "description": "Dark Elven Tetrarch Thifiell asked Abyssal Celebrant Kartia to translate an ancient manuscript. He now asks you to retrieve the translated copy of 'Kaysha's Revelations'. You must be very discreet.", "npc": {"id": "106", "name": "Thifiell", "additional": "Tetrarch", "icon": "skill4416_darkelf"}, "item": {"id": "987", "name": "Ancient Clay Tablet", "icon": "etc_plate_glay_i00", "grade": "NG"}}, {"number": 2, "title": "Kaysha's Revelations", "description": "Dark Elven Tetrarch Thifiell asked Abyssal Celebrant Kartia to translate an ancient manuscript. He now asks you to retrieve the translated copy of 'Kaysha's Revelations'. You must be very discreet.", "npc": null, "item": {"id": "987", "name": "Ancient Clay Tablet", "icon": "etc_plate_glay_i00", "grade": "NG"}}, {"number": 3, "title": "In Search of the Stolen Revelations", "description": "You hear that 'Kaysha's Revelations' was stolen by Tumran Orcs! Kill the Tumran Orc brigands that were last seen camping near the Altar of Rites, and recover the original copy of 'Kaysha's Revelations' and a clay tablet.Ancient Clay TabletNG", "npc": null, "item": {"id": "987", "name": "Ancient Clay Tablet", "icon": "etc_plate_glay_i00", "grade": "NG"}}, {"number": 4, "title": "Return to Abyssal Celebrant Kartia", "description": "You have recovered the ancient scroll and clay tablet. Abyssal Celebrant Kartia is waiting for you.", "npc": null, "item": null}, {"number": 5, "title": "Translation of the Completed Revelations", "description": "The translation of 'Kaysha's Revelations' is complete. Tetrarch Thifiell is waiting for you.", "npc": null, "item": null}]	lu4	https://wiki.mw2.wiki/quest/106-forgotten-truth/lu4
107	Merciless Punishment	You've found another secret letter! Take it to Urutu Chief Hatos.	30568	Hatos	Urutu Chief	skill4416_orc	[{"top": 1046.5423728814, "left": 1421.5480225989}]	10	16	[{"name": "Spiritshot: No Grade for BeginnersNG", "icon": "etc_spiritshot_none_for_rookie_i00", "grade": "NG"}]	[{"number": 1, "title": "Start NPC", "description": "Varangka, Shaman of Darkness, is scheming to destroy the kingdom of the Orcs. Urutu Chief Hatos has learned of his plot, and has ordered the elimination of all of Varangka's followers. Kill them all! Centurion Parugon will tell you where to find them.", "npc": {"id": "107", "name": "Hatos", "additional": "Urutu Chief", "icon": "skill4416_orc"}, "item": {"id": "1558", "name": "Letter to Elf", "icon": "etc_letter_blue_i00", "grade": "NG"}}, {"number": 2, "title": "Stop Varangka's Conspiracy!", "description": "Varangka, Shaman of Darkness, is scheming to destroy the kingdom of the Orcs. Urutu Chief Hatos has learned of his plot, and has ordered the elimination of all of Varangka's followers. Kill them all! Centurion Parugon will tell you where to find them.", "npc": null, "item": {"id": "1558", "name": "Letter to Elf", "icon": "etc_letter_blue_i00", "grade": "NG"}}, {"number": 3, "title": "Catch Varangka's Messenger!", "description": "Varangka's messengers and escorts are advancing from the far eastern Immortal Plateau to the Raider's Crossroads! Kill them all!Letter to HumanNG", "npc": null, "item": {"id": "1558", "name": "Letter to Elf", "icon": "etc_letter_blue_i00", "grade": "NG"}}, {"number": 4, "title": "Discovery of the secret letter!", "description": "You have recovered a secret letter from Varangka's messenger. Take it to Urutu Chief Hatos.", "npc": null, "item": {"id": "1558", "name": "Letter to Elf", "icon": "etc_letter_blue_i00", "grade": "NG"}}, {"number": 5, "title": "Are there more secret letters?", "description": "Varangka must have sent more than one secret letter! Find Varangka's messengers and try to find other secret letters! Monsters to Hunt - Varangka's messengers.Letter to Dark ElfNG", "npc": null, "item": {"id": "1558", "name": "Letter to Elf", "icon": "etc_letter_blue_i00", "grade": "NG"}}, {"number": 6, "title": "A second secret letter discovered!", "description": "You've found another secret letter! Take it to Urutu Chief Hatos.", "npc": null, "item": {"id": "1558", "name": "Letter to Elf", "icon": "etc_letter_blue_i00", "grade": "NG"}}, {"number": 7, "title": "Further intrigues!", "description": "This can't be the end! Search harder! Monsters to Hunt - Varangka's messengers.Letter to ElfNG", "npc": null, "item": {"id": "1558", "name": "Letter to Elf", "icon": "etc_letter_blue_i00", "grade": "NG"}}, {"number": 8, "title": "Discovery of the third secret letter!", "description": "You've found another secret letter! Take it to Urutu Chief Hatos.", "npc": null, "item": null}]	lu4	https://wiki.mw2.wiki/quest/107-merciless-punishment/lu4
108	Jumble, Tumble, Diamond Fuss	You finally recover the star diamond. Pray for the soul of the poor bat then take the star diamond to Collector Gouph.	30523	Gouph	Collector	skill4416_dwarf	[{"top": 649.34463276836, "left": 2339.7683615819}]	10	14	[{"name": "Soulshot: No Grade for BeginnersNG", "icon": "etc_soulshot_none_for_rookie_i00", "grade": "NG"}]	[{"number": 1, "title": "Start NPC", "description": "Collector Gouph of the Bronze Key Guild has purchased a rare star diamond from Trader Reep of the Silver Scales Guild. It is one of only twelve on the continent! Three days have past since the agreed-upon delivery date and Gouph is becoming impatient. He asks you to go to Trader Reep, retrieve the star diamond and bring it to him.", "npc": {"id": "108", "name": "Gouph", "additional": "Collector", "icon": "skill4416_dwarf"}, "item": {"id": "1571", "name": "Star Diamond", "icon": "etc_jewel_silver_i00", "grade": "NG"}}, {"number": 2, "title": "In Search of a Star Diamond!", "description": "Collector Gouph of the Bronze Key Guild has purchased a rare star diamond from Trader Reep of the Silver Scales Guild. It is one of only twelve on the continent! Three days have past since the agreed-upon delivery date and Gouph is becoming impatient. He asks you to go to Trader Reep, retrieve the star diamond and bring it to him.", "npc": null, "item": {"id": "1571", "name": "Star Diamond", "icon": "etc_jewel_silver_i00", "grade": "NG"}}, {"number": 3, "title": "Carrier Torocco", "description": "Trader Reep informs you that he gave the star diamond to Carrier Torocco to deliver to Gouph. Find Torocco and ask him about the diamond.", "npc": null, "item": {"id": "1571", "name": "Star Diamond", "icon": "etc_jewel_silver_i00", "grade": "NG"}}, {"number": 4, "title": "Booze can make you lose!", "description": "Torocco got drunk with Miner Maron last night and passed out. When he awoke, his weapons, armor, money and even the star diamond had been stolen! Find Maron and ask him what happened.", "npc": null, "item": {"id": "1571", "name": "Star Diamond", "icon": "etc_jewel_silver_i00", "grade": "NG"}}, {"number": 5, "title": "Gambling can make you a loser, too!", "description": "Carrier Torocco is usually quite trustworthy, but.when he starts drinking he inevitably starts gambling. He got drunk last night and lost everything he had in a dice game with Blacksmith Brunon. Could this mean that Blacksmith Brunon has the star diamond?", "npc": null, "item": {"id": "1571", "name": "Star Diamond", "icon": "etc_jewel_silver_i00", "grade": "NG"}}, {"number": 6, "title": "Brunon's Request", "description": "Indeed, Blacksmith Brunon won the star diamond in a dice game! He tells you that he will give it to you if you recover the aquamarine and chrysoberyl that were stolen by a goblin brigand lieutenant.ChrysoberylNGx10", "npc": null, "item": {"id": "1571", "name": "Star Diamond", "icon": "etc_jewel_silver_i00", "grade": "NG"}}, {"number": 7, "title": "Return to Blacksmith Brunon", "description": "You have recovered the aquamarines and chrysoberyls that Blacksmith Brunon lost. Take them to him.", "npc": null, "item": {"id": "1571", "name": "Star Diamond", "icon": "etc_jewel_silver_i00", "grade": "NG"}}, {"number": 8, "title": "Gem Box", "description": "Brunon gives you the gem box he says he won in a dice game. Take it to Gouph.", "npc": null, "item": {"id": "1571", "name": "Star Diamond", "icon": "etc_jewel_silver_i00", "grade": "NG"}}, {"number": 9, "title": "Useless Coal", "description": "The gem box doesn't contain the star diamond, only a strange looking piece of coal! Return to Blacksmith Brunon and demand an explanation!", "npc": null, "item": {"id": "1571", "name": "Star Diamond", "icon": "etc_jewel_silver_i00", "grade": "NG"}}, {"number": 10, "title": "A Chest of Mistaken Identity", "description": "The piece of coal once belonged to Warehouse Freightman Murdoc. Take the letter from Brunon to Murdoc and exchange it for the gem box that contains the star diamond.", "npc": null, "item": {"id": "1571", "name": "Star Diamond", "icon": "etc_jewel_silver_i00", "grade": "NG"}}, {"number": 11, "title": "The Diamond Is Gone!", "description": "The star diamond was eaten by a bat that Warehouse Keeper Airy keeps as a pet! The bat escaped out of an open window! Go quickly and speak with Airy!", "npc": null, "item": {"id": "1571", "name": "Star Diamond", "icon": "etc_jewel_silver_i00", "grade": "NG"}}, {"number": 12, "title": "Who keeps a bat as a pet, anyway?", "description": "Warehouse Keeper Airy asks you to find her pet, a blade bat. Kill the bat and get the diamond.Star DiamondNG", "npc": null, "item": {"id": "1571", "name": "Star Diamond", "icon": "etc_jewel_silver_i00", "grade": "NG"}}, {"number": 13, "title": "Small Sacrifice, Great Reward", "description": "You finally recover the star diamond. Pray for the soul of the poor bat then take the star diamond to Collector Gouph.", "npc": null, "item": null}]	lu4	https://wiki.mw2.wiki/quest/108-jumble-tumble-diamond-fuss/lu4
118	To Lead and Be Led	You've collected all the King of the Araneid's legs. Return to Blacksmith Pinter.Leg of King AraneidNGx8	30298	Pinter	Blacksmith	skill4416_dwarf	[{"top": 2390.8757062147, "left": 1599.2824858757}]	19	40	[{"name": "Random RewardNG", "icon": "etc_quest_random_reward_i00", "grade": "NG"}]	[{"number": 1, "title": "Start NPC", "description": "Blacksmith Pinter of the Town of Gludio tells you to bring him the materials necessary to make Clan Academy armor. Get 10 botttles of Maille Lizardman Blood. Monsters to Hunt - Maille Lizardman, Maille Lizardman Scout, Maille Lizardman GuardBlood of Maille LizardmanNGx10", "npc": {"id": "118", "name": "Pinter", "additional": "Blacksmith", "icon": "skill4416_dwarf"}, "item": {"id": "8063", "name": "Leg of King Araneid", "icon": "etc_sting_b_i00", "grade": "NG"}}, {"number": 2, "title": "Slay the Maille Lizardman", "description": "Blacksmith Pinter of the Town of Gludio tells you to bring him the materials necessary to make Clan Academy armor. Get 10 botttles of Maille Lizardman Blood. Monsters to Hunt - Maille Lizardman, Maille Lizardman Scout, Maille Lizardman GuardBlood of Maille LizardmanNGx10", "npc": null, "item": {"id": "8063", "name": "Leg of King Araneid", "icon": "etc_sting_b_i00", "grade": "NG"}}, {"number": 3, "title": "Go to Pinter", "description": "You have collected all the Lizardmen's blood needed. Return to Blacksmith Pinter.Blood of Maille LizardmanNGx10", "npc": null, "item": {"id": "8063", "name": "Leg of King Araneid", "icon": "etc_sting_b_i00", "grade": "NG"}}, {"number": 4, "title": "Get Help from Sponsor", "description": "Blacksmith Pinter tells you he needs 922 D-Grade crystals to make heavy armor. Your Sponsor must acquire the necessary crystals and take them to Pinter.", "npc": null, "item": {"id": "8063", "name": "Leg of King Araneid", "icon": "etc_sting_b_i00", "grade": "NG"}}, {"number": 5, "title": "Get Help from Sponsor", "description": "Blacksmith Pinter tells you he needs 771 D-Grade crystals to make light armor. Your Sponsor must acquire the necessary crystals and take them to Pinter.", "npc": null, "item": {"id": "8063", "name": "Leg of King Araneid", "icon": "etc_sting_b_i00", "grade": "NG"}}, {"number": 6, "title": "Get Help from Sponsor", "description": "Blacksmith Pinter tells you he needs 771 D-Grade crystals to make the robe. Your Sponsor must acquire the necessary crystals and take them to Pinter.", "npc": null, "item": {"id": "8063", "name": "Leg of King Araneid", "icon": "etc_sting_b_i00", "grade": "NG"}}, {"number": 7, "title": "Go to Pinter", "description": "Your Sponsor gave Blacksmith Pinter the crystals necessary for making the armor. Blacksmith Pinter has a message for you. Go to Pinter.", "npc": null, "item": {"id": "8063", "name": "Leg of King Araneid", "icon": "etc_sting_b_i00", "grade": "NG"}}, {"number": 8, "title": "Defeat the King of the Araneid", "description": "Blacksmith Pinter finally tells you to defeat the King of the Araneid in the Maille Lizardmen Barracks and collect 8 legs. You must defeat the King of the Araneid while your Sponsor is watching. Monster to Hunt - The King of the AraneidLeg of King AraneidNGx8", "npc": null, "item": {"id": "8063", "name": "Leg of King Araneid", "icon": "etc_sting_b_i00", "grade": "NG"}}, {"number": 9, "title": "Go to Pinter", "description": "You've collected all the King of the Araneid's legs. Return to Blacksmith Pinter.Leg of King AraneidNGx8", "npc": null, "item": {"id": "8063", "name": "Leg of King Araneid", "icon": "etc_sting_b_i00", "grade": "NG"}}]	lu4	https://wiki.mw2.wiki/quest/118-to-lead-and-be-led/lu4
134	Temple Missionary	Mission accomplished! Report your success to Priestess Glyvka.	30067	Glyvka	Priestess	skill4416_human	[{"top": 2490.8644067797, "left": 1777.9152542373}]	35	45	[{"name": "Elixir of MP (D-Grade)D", "icon": "etc_super_mp_potion_i01", "grade": "D"}]	[{"number": 1, "title": "Start NPC", "description": "Priest Glyvka says that the religious association bestows the position as Feet of the religious association on the ones who prove their loyalty to the god by helping the religious association. Continue to talk with Glyvka who can actually help you in a specific way.", "npc": {"id": "134", "name": "Glyvka", "additional": "Priestess", "icon": "skill4416_human"}, "item": {"id": "10337", "name": "Giants' Technology Report", "icon": "etc_spell_books_red_i00", "grade": "NG"}}, {"number": 2, "title": "The Goddess of Order", "description": "Priest Glyvka says that the religious association bestows the position as Feet of the religious association on the ones who prove their loyalty to the god by helping the religious association. Continue to talk with Glyvka who can actually help you in a specific way.", "npc": null, "item": {"id": "10337", "name": "Giants' Technology Report", "icon": "etc_spell_books_red_i00", "grade": "NG"}}, {"number": 3, "title": "The Defiant One", "description": "Eliminate the Giants' experimental monsters who deny the existence of Einhasad, goddess of order. Eliminate as well the apostates who falsely worship the Giants' knowledge. Talk to Spell book Seller Rouke for details.", "npc": null, "item": {"id": "10337", "name": "Giants' Technology Report", "icon": "etc_spell_books_red_i00", "grade": "NG"}}, {"number": 4, "title": "Purge", "description": "Eliminate the Giants' experimental monster in the Cruma Marshlands and collect Giants' Experimental Tool Fragments. Bring the fragments to Spellbook Seller Rouke, who will assemble them into a completed Giants' Experimental Tool. Next, use the tool to lure the apostates who idolize the Giants. Eliminate the apostates and bring the Giant's Technology Report to Rouke. Monsters to be hunted - Marsh Stakatos, Stinger Wasps, Marsh Stakato Workers, Toad Lords, Marsh Stakato Soldiers, Marsh Spiders, Marsh Stakato DronesGiants' Technology ReportNGx3", "npc": null, "item": {"id": "10337", "name": "Giants' Technology Report", "icon": "etc_spell_books_red_i00", "grade": "NG"}}, {"number": 5, "title": "Mission Complete", "description": "Bring the Giants' Technology Reports to Spellbook Seller Rouke.Giants' Technology ReportNGx3", "npc": null, "item": {"id": "10337", "name": "Giants' Technology Report", "icon": "etc_spell_books_red_i00", "grade": "NG"}}, {"number": 6, "title": "Temple Missionary", "description": "Mission accomplished! Report your success to Priestess Glyvka.", "npc": null, "item": null}]	lu4	https://wiki.mw2.wiki/quest/134-temple-missionary/lu4
135	Temple Executor	Obtained all the credential letters from those who asked for help in Floran Village. Go back to Priest Shegfield and report this......	30068	Shegfield	Priest	skill4416_elf	[{"top": 2490.7853107345, "left": 1778.9717514124}]	35	45	[{"name": "BucklerNG", "icon": "shield_buckler_i00", "grade": "NG"}]	[{"number": 1, "title": "Start NPC", "description": "Priest Shegfield says that the religious association bestows the position as Hands of the religious association on the ones who prove their loyalty to the god by helping the religious association. Continue to talk with Shegfield who can actually help you in a specific way.", "npc": {"id": "135", "name": "Shegfield", "additional": "Priest", "icon": "skill4416_elf"}, "item": {"id": "10333", "name": "Alex's Credentials", "icon": "etc_piece_of_paper_white_i00", "grade": "NG"}}, {"number": 2, "title": "Proof of Loyalty", "description": "Priest Shegfield says that the religious association bestows the position as Hands of the religious association on the ones who prove their loyalty to the god by helping the religious association. Continue to talk with Shegfield who can actually help you in a specific way.", "npc": null, "item": {"id": "10333", "name": "Alex's Credentials", "icon": "etc_piece_of_paper_white_i00", "grade": "NG"}}, {"number": 3, "title": "Helping the Unfortunate", "description": "Let's say that people in Town of Floran need help from the religious association. Meet Alex and help people in Town of Floran in obedience to the religious association", "npc": null, "item": {"id": "10333", "name": "Alex's Credentials", "icon": "etc_piece_of_paper_white_i00", "grade": "NG"}}, {"number": 4, "title": "Unfortunate Recommendation", "description": "Hunt for Delu Lizardman's supply corpsman, the commando, the commander, the magician, and the Cursed Watcher. Give Warehouse Keeper Sonin those 10 goods which were stolen before...Give Grocer Pano 10 Crystals of Hatred...Give Alex 10 old treasure maps and get credentials from each of them to hunt for - Cursed Seer, Delu Lizardman Special Agent, Delu Lizardman Commander, Delu Lizardman Supplier, Delu Lizardman Shaman.Hate CrystalNGx10", "npc": null, "item": {"id": "10333", "name": "Alex's Credentials", "icon": "etc_piece_of_paper_white_i00", "grade": "NG"}}, {"number": 5, "title": "Get the Recommendation", "description": "Collected all the items you needed in Floran Village. Bring Sonin, Pano and Alex what they wantAlex's CredentialsNG", "npc": null, "item": {"id": "10333", "name": "Alex's Credentials", "icon": "etc_piece_of_paper_white_i00", "grade": "NG"}}, {"number": 6, "title": "Evidence of Assistance", "description": "Obtained all the credential letters from those who asked for help in Floran Village. Go back to Priest Shegfield and report this......", "npc": null, "item": null}]	lu4	https://wiki.mw2.wiki/quest/135-temple-executor/lu4
